,location_id,text,name
10,16882090,何もないがトイレはある 城南島の空いた土地をとりあえず公園にしたんじゃないか、と思わせる場所です。草原の中に遊歩道、ところどころにベンチ。通りを挟んだ向かい側にはファミリーマート系のポートストアがあるのでお弁当を買ってここで食べるような人もいるのかな。そんな中でもトイレがあるのはランニングでこちらへ来る身としてはありがたいです。,Jonanjima Futo Park
11,8746815,"Great sushi class Myself and my boyfriend enjoyed Mayuko's sushi and nabe class during our stay in Tokyo. She is a very good teacher and made it very enjoyable. We made different types of sushi, a broth and a matcha desert, and had more than enough to eat! Mayuko also gave us plum wine and beers to go with our dinner. The course is really good value for money, we couldn't find any other in this price range. Mayuko's English is very good, and we actually stayed 45 mins later than our course was meant to finish as we were eating and talking!",Cooking Home Tokyo
12,8746815,"Mayuko's cooking class was excellent. Myself and my husband really enjoyed learning from Mayuko. The half day of cooking in her house was an unforgettable experience and she was a kind and very lovely host. My husband was a vegetarian also and she catered very well to meet both his and my tastes! We learned how to cook japanese rice, Okonomiyaki, yellow tail fish as well as vegetables and miso soup. In addition, we learned how to make macha pudding and sesame tofu. She held our lesson in her house, which was a great cultural experience and she made it all the more authentic. The food was delicious and Mayuko was a great teacher. Mayuko's english was also excellent and we enjoyed talking to her about many different topics and learning about the Japanese culture. Highly recommend this! Was a highlight of our trip! We returned home and already within a few days have tried out her recipes!",Cooking Home Tokyo
13,8746815,"Great value and delicious food! My brother and I learned how to make Teriyaki chicken, along with miso soup, a Japanese vegetable side dish, and green tea dessert. Although Mayuko specializes in decorative sushi, she teaches more than just sushi and customizes the menu based on your tastes. I requested a more local Teriyaki chicken recipe, and I ended up with an absolutely delicious dish that tasted nothing like the North American version, which I consider a good thing. This chicken, along with the dessert, were our favourites. As for the English, do not worry at all. Mayuko's English is very good and she is very easy to converse with. She is also extremely kind, as the rate for students is half price (2500 yen), which is really just enough to cover the ingredients. She mentioned that she didn't want to take money from students and I think she just does this class to help them. In addition, she went above and beyond the cooking class. Afterwards, she took my brother and I to a nearby supermarket to help us find ingredients we wanted to take back to Canada. Furthermore, after we mentioned that we were having trouble finding restaurants and wanted to eat good Japanese beef at a reasonable price, that night she sent us a detailed email about various restaurants. We ended up going to one in Shinjuku, and ate Wagyu beef for only 1200 yen/person due to a lunch special only offered to the first 20 guests. We would never have found that place without her. Lastly, she also took some pictures of us and edited them to create a collage as a memento. I really cannot emphasize enough how great of an experience this was - one of the highlights of Japan for me.",Cooking Home Tokyo
14,11875233,ペリーの来航をきっかけに異国船の再襲来に備えて造られた砲台跡 ペリー来航に対して、幕府が品川宿の立会川の浜辺に大砲８門を備える砲台を築いて異国船の再来襲に備えました。近くに土佐藩の下屋敷があり、あの坂本龍馬も警備の任についていたそうです。公園の中にその大砲1基が復元されています。当時は目の前は東京湾だったのですが、今は埋め立てられてしまい勝島運河になっています。 　,Hamakawa Gun Battery
15,11875233,1854年にペリーが再来訪時に土佐藩が造った対応のレプリカを見ることができましたよ！！ 1854年にペリーが再来訪時に土佐藩が造った対応のレプリカを見ることができましたよ。レプリカですが立派なものでした。歴史を感じることができましたね!!,Hamakawa Gun Battery
16,11875233,좋아요 지나가다보니 젊은 사람들이 이 곳에 많이 모여있더라구요. 날씨도 좋았어서 저도 잠시 이 곳에서 쉬었는데 너무 좋은 시간이었어요.,Hamakawa Gun Battery
17,15661865,色 この色といい、形といいごくごくよく見かける鉄橋となっているので、特徴があまりかんじられないのが残念。,Kotoshin Bridge
18,15661865,夜川を見下ろすと光がきれい 島忠ホームセンタ―のそばにある。夜間に渡河する際に川を見下ろすと、川岸の緑にところどころランプのような照明があって、きれいだった。,Kotoshin Bridge
19,15661865,似たような橋が多いですね。 　江東区と江戸川区には大きな川がありますので、似たような素晴らしい橋が多いです。しかしこちらの橋はエメラルドグリ－ンの塗装できれいな橋だと思いました。,Kotoshin Bridge
20,12279830,"Fantastic massage I would strongly recommend to visit to have a massage. I had a sports massage there and the quality was truly amazing. The staff is fully skilled and very kind, plus price is very reasonable as well. It's only 5 mins walk from Azabu juban subway station.",Loople
21,12279830,"Professional massage from skilled and friendly masseuse I had one of the best massage experiences I have ever had. I went to Loople for a sports massage because of a neck injury that I had from dancing. I felt that not only my neck but also my whole body got lighter and smoothly functioning after the massage.What's great about Loople?•Taka was very welcoming, knowledgeable and nice to talk with. He generously explained my body conditions and gave me advices.•The acupuncture therapy he gave was incredibly helped the pain on my neck. He even put small patches with an acupuncture needle after the massage which helped reduce the pain for the next few days.•The waiting and massage rooms were extremely relaxing with the aromatherapy, greens, and cozy couches.I highly recommend Loople for a weekly/monthly massage clinic, and also they will help injuries from sports and accidents.",Loople
22,12279830,Great expeience with healing This  is Narender. I had a great experience with Loople. I had talked with Inoue san and took her appointment. She had been extremely good at her job and could feel the difference before and After. I talked to Ken san as well and they had been very cooperative. Recommend to everyone who has genuine body fatigue/jet lag. You will ot regret it. Enjoy and be ready on your feet to conquer other world(place).Narender,Loople
23,19093715,無料スポット 無料で入れるスポットです。キレイで椅子もあるのでのんびり過ごすことが出来ます。特別展示コーナー月替わりでテーマに取り上げ展示しています。おさかなシアター展示に合わせた映像を流しています。食育コーナーチャレンジコーナー図書コーナー水産や魚に関する本がたくさんあります。The 築地市場・築地散歩漁村のお祭りおさかな探検調べよう・学ぼう！というようなセクションに分けられています。基本的には子供向けですが、大人でも勉強になることはあります。,Toyomi Osakana Museum
24,19732521,何気に眺め良いイートインスペース 第1ターミナルのゲート内にありますが、うどんや蕎麦、カレーライスが600円程度で食べられます。山菜うどんを注文したら2分くらいで出てきました。店内のイートインスペースは4席（他に立ち食い用のテーブルもあり）なのですが、目の前に飛行機が見えて眺めが良いです。お弁当や飲み物も売っています。,Blue Sky 15 Ban Gate Snack
25,19732521,飲み物中心です 羽田空港第一ターミナルの保安検査エリア、北ウイングの１５番ゲート近くにある軽食のお店です。サンドイッチなどの軽食もありますが、基本飲み物中心の店舗です。ビールもあります。飲み物はここで購入した、その隣のあるブルースカイでお弁当を買うのが良いかと思います。,Blue Sky 15 Ban Gate Snack
26,19732521,商品の種類が少ないです 羽田空港国内線第1ターミナルの制限エリア内、15番搭乗口の前にあるお店です。かなり久しぶりに利用しました。機内で食べる朝食を購入するために立ち寄りましたが、相変わらず、軽食類の種類は少ないですね。もう少し軽食の種類が豊富にあると嬉しいのですが、、、,Blue Sky 15 Ban Gate Snack
27,12338207,"Great Solo Activity for Writers & Creatives Recommended if you want a chill activity, or a  solo traveler who veers toward the artistic/crafty/creative. Worth the visit if you’re in the neighborhood, write extensively with fountain pens/dip pens or a calligrapher/artsy.Good to Know: They also sell a variety of pens that are suited to their ink; rollerball, fountain, marker and finepoint and there are plenty options to test them out. Their pens/ink is made to be used daily/often rather than on rare occasions. If you do consider their pens do ask about recommended use.Workshop: You do need to reserve your spot for the workshop - I dropped in and was able to book the same day (it was weekday). After demo instruction; you have about 45 minutes to mix your own ink.  You are pretty much on your own (in a good way). The staff is there is answer questions. You can make as many colours as you like within your time allotment. If you’re unsure/rusty in colour theory; they do have a swatch chart to guide you or you can just wing it. Planning: It will take a few hours out of your day (workshop + waiting for your custom ink to be made from your recipe). Keep your card to pick up your ink. This is the way they will find your specific colour. They also keep your colour card on file for 2 years so you can reorder online! Area Etc: It’s located about 10-15min walk from the touristy bit of Asakusa. There are several chill cafes within a block to relax while you wait. On the back of your appoint card is a little map of the area and local cafes. You can also head over the their stationary shop and have a custom notebook made or just browse/try their pen and paper selection (about 5 minute walk. They also had bike rentals - as of October 2019.Staff: The staff was great and I personally had a wonderful experience as an English speaker. If you have complex or highly specific questions - I would recommend that you translate them into Japanese, however I think that between the signage and the staff, the majority of questions can be answered smoothly. ",inkstand by kakimori
28,12338207,"Unique shopping Kakimori and it’s sister store inkstand are around a 5mins walk apart. Loved Ink stand in particular and wished I’d have known about it in advance so as I could have booked a spot to develop my own custom shade of ink. The email for bookings is on the inkstand website. It was still fun to do this with the shop assistant (no booking required for this). Had a notebook made at Kakimori- you choose covers, papers, bindings and they put it together. Great fun!",inkstand by kakimori
29,12338207,A wonderful shopping experience I loved this shop. I was looking for a notebook as a gift. The staff were extremely helpful and advised me in all aspects of the process (in English) of customising from choosing the paper right through to the overall finish. I am so pleased with the outcome of my purchase that I wish I had chosen one for myself also. And the price was so reasonable.,inkstand by kakimori
30,11946251,ちょっと、わかりづらい JR浜松町駅から、東京ガス本社へと向かいます連絡橋を田町方面へと向かいます。途中、東京ガス本社から下へと連絡橋を降りて行きますと、小さな公園があり、その中にあります。,Kokaseki no Moyai Statue
31,11946251,モヤイ像 渋谷以外にもモヤイ像があるとは驚きです。でも誰もが浜松町にあるとは思わないでしょう。一応浜松町は港町で、新島の方言であるモヤイを広めるために作られたのだと思います。,Kokaseki no Moyai Statue
32,11946251,公園の中の設置物の一部です 浜松町駅から連絡通路のような橋を渡ってすぐの東京ガス本社のある場所にあります。東京ガスの敷地内のような所を歩いていると、港区立浜崎公園という表示がありましたので、隣接した土地が公共の公園になっているようです。あまり広くない空間で目立たないのですが、モヤイ像が設置されていました。わざわざここを訪れる人はあまりいなさそうな立地です。横にある説明版によると、新島と港区との長い交流の歴史を記念したものとのこと。浜松町のすぐ先にある竹芝桟橋が伊豆諸島への航路の発着地として長年利用されていることに由来したものなのかなと思いました。それなら竹芝桟橋への通り道のようなもっとわかりやすい場所に像を設置すればもっと注目されるのにと思いました。,Kokaseki no Moyai Statue
33,9778120,１２００年以上前の夢に由来する神社 飯田橋の駅から徒歩で１０分ほどです。小さな神社で、あまり人もいないようでした。静かでいいです。境内には田村虎蔵（作曲家）を称える碑がありました。金太郎「まさかり担いで金太郎、熊にまたがりお馬のけいこ…」や、花咲かじいさん「裏の畑でポチがなく…」などで有名ですね。石段を下りた左脇にある「Gootara Cafe」では、美味しい Roti をいただけます。,Tsukudohachiman Shrine
34,9778120,歴史があります 飯田橋駅から徒歩10分ほど、大久保通りを歩いていくと高台にあります。それほど大きな神社ではありませんが、歴史は古く1200年ほどの歴史があるとのことでしっかりとお参りをさせていただきました。境内には作曲家田村虎蔵の碑などもありました。,Tsukudohachiman Shrine
35,9778120,文化財があって歴史を感じる 筑土八幡神社は、神楽坂駅と飯田橋駅の間に鎮座していて、少し歩くことになるが徒歩圏内にある。小さな神社だが、境内には新宿区の有形民俗文化財となっている石造の鳥居や庚申塔があって歴史は古いようだ。,Tsukudohachiman Shrine
36,13152378,木々が生い茂る中にある神社です 　木々が生い茂る中にあり、静寂さを感じる空間だと思いました。都会にある安らぎの空間ように思います。木々が日の光をさえぎっており、何となく高貴さを感じられる場所です。,Dairoku Tensakaki Shrine
37,13152378,浅草橋と蔵前の間にある神社 浅草橋から北に５分ほどのところにある神社です。日本武尊が東夷征伐の際に創始したといわれる由緒のある神社です。境内には、七福稲荷神社などの末社もいくつかあります。また、御朱印もいただけるようです。,Dairoku Tensakaki Shrine
38,13152378,蔵前のビル街の谷間に。 浅草橋から蔵前に向かう途中で見つけた立派な鳥居。榊神社と石碑に刻まれています。正式名は違うのですね。割に小奇麗な境内ですね。誰もおらず静かです。,Dairoku Tensakaki Shrine
39,13396650,水風呂のあるキレイな銭湯。井戸水沸かしてます マンションの2階にある銭湯。モダンというかレトロというか、不思議な建物の中には天井が高くてキレイな洗い場と浴室。約20℃くらいの水風呂があるので温冷混合浴に利用してリフレッシュします。シャンプーとボディソープ備え付けで便利。,Asahiyu
40,13396650,割と新し目のスタイル 割と新し目のスタイルの銭湯である、所謂番台では無くフロント形式、しかもフロント前には共用のロビースペースがあってコーヒー牛乳等が飲める、逆に言うと男女個別の休憩スペースは無い。残念な点は二点、入口へは急な階段を登らなければ到達出来ない（勿論エレベータなど無い）。もう一つは数年前までサウナが稼働しており貸しバスタオルもあったので手ぶら入浴が出来たのに現在はサウナが唯の物置きになっている事,Asahiyu
41,4739787,"If I could have a shuttle bus from the station... We went there for OHANAMI BBQ. Cherry blossoms were in full bloom, which was so beautiful. With a comfortable temperature, BBQ was a fun as expected. We brought in our variety of drinks; but foods were included in the package, which was convenient. As said in the title, it takes about 15 minutes from the station with luggage; as such I wish I could have shuttle bus available. ",Tokyo Yumenoshima Marina
42,4739787,"Beautiful Marina I feel the interresting nuances here, the atmosphere is wonderful Marina, surrounded by restaurants with different types of international cuisine.",Tokyo Yumenoshima Marina
43,4739787,オフシーズン空いてます マリーナに舟を置いてるオーナー向けの施設ですが、一般の人も入れます。お手洗い、自販機、椅子テーブルがあり、海を臨める広い屋内フロアが、夢の島公園散策のひと休みにちょうどいいです。上にレストランもあります。オフシーズンは人が少なくて良いです！休日の穴場ですね。西葛西のマンション群も見えました。,Tokyo Yumenoshima Marina
44,13152755,徳川 松平家の知名度。そしてそれを思わさずを得ないつくりとなっているようだ。金の装飾もそれらしくおさまっている。蔵前駅から至近。,Matsudaira Saifuku-ji Temple
45,13152755,松平家ゆかりのお寺 蔵前の精華公園の近くにあるお寺です。徳川の松平家ゆかりのお寺らしく、どことなく風格のあるお寺で見応えがあります。,Matsudaira Saifuku-ji Temple
46,13152755,最初の6つの小学校の内の一つがこちらの境内にあったというのが興味深かったです 浅草から浅草橋に向かって散策した際に行きました。浄土宗の寺院です。付近に寺院の中では結構大きな寺院で、本堂は新しい感じでした。門前には育英小学校発祥の地の碑があり、明治に創設された最初の6つの小学校の内の一つがこちらの境内にあったというのが興味深かったです。,Matsudaira Saifuku-ji Temple
47,7601920,"4D experience with Blade runner Apart from my popcorn dropping all over the floor, it was a interesting and cool experience. The chairs would move even during the commercials prior to the movie. We had to pay for the 3D glasses but you can bring your own and there will be no charge. There is a on/off button if you don't want to get wet, but if the person next to you has the water mode on, you can still feel it a little bit of it. I'm a person who gets car sick easily but didn't get any motion sickness from the 4D experience. Each time when there is a fighting punch up scene, the chairs become intense too and kinda makes you feel like you're part of the punch up. As a first timer, it was pretty fun and would recommend watching it with blade runner. Warning: popcorn and drinks can be difficult to consume.",United Cinema Toyosu
48,7601920,穴場？映画館 人気作品を観ました。新宿や渋谷では満員でしたが、こちらでは半分くらい空きがありました。豊洲駅から少し歩いたららぽーと 内にあります。,United Cinema Toyosu
49,7601920,消防法違反ですから営業停止に。 夜の映画の出口がエレベーターだけ。避難経路がエレベーターしかない映画館、よく営業できてますね。消防が来た時のみ開放してるのかな。,United Cinema Toyosu
50,12875789,Worth seeking out Small shop with very nice selection of pottery and other objects from independent artists and craftsmen.. Young owner has a good eye and is very friendly and speaks English. Easy 15-minute walk south from Asakusa. I stumbled upon the store while visiting other shops in Kuramae and this is the only place where I ended up buying anything. Quality and prices are great. ,Proto
51,12875789,"Tablewares and precious  quietly nesting in Kuramae area, near Asaksa and Akihabara.  Stylish and trendy. The owner is easy to talk and speaks English. The art lovers can't miss it. ",Proto
52,12875789,"Excellent Japanese crafts Beautiful Japanese pottery,woodwork,accessories, it was like an art museum. The price was also reasonable.",Proto
53,13964868,便利です 新左近川親水公園の左近川を南北方向にかかっている橋でとても幅がある歩行者専用の橋です。こちらを通ると左近通りの上も通過するので葛西臨海公園方面へ行くのにはとても便利です。,Kasai Kamome Bridge
54,13964868,欄干にカモメのオブジェ 江戸川区をランニングしていて通りかかりました。橋の名前にもなっているカモメのオブジェが橋の欄干の上にのっています。幅も広くて通行しやすいのが良いですね。,Kasai Kamome Bridge
55,13964868,ごく普通の橋です 清新町の緑道を臨海公園に向かって歩いていると出会えます橋の下に、カヌー乗り場が見えてカヌーを楽しんでいる人たちを橋の上から見る事が出来きもちいいです,Kasai Kamome Bridge
56,10910977,"Tokai Kisen - Tachibana Maru Ferry Not my first ferry ride but it feels like another first. Arrived in Takeshiba Pier for 1030PM departure. Before that have to exchange both my tour vouchers for real ferry tickets. Had to wait in line for several minutes as only 4 windows was operating. The staff was friendly and was able to change my booked ticket from the lower deck to a bunk bed for additional fee of JPY4100 (about US$37.50). Ferry's lower decks are quite near engine and noise is bothersome. The bunk bed was very comfortable, with lights, socket for charger, pillow and blanket. Bunk can be closed in with curtains for privacy. In Japan, there is Woman only areas that can be requested- bunk beds or even in lower deck areas, should make sure if travelling solo. Ferry sailing very smooth and ships rolling motion barely noticeable. Only one misgivings, had to wait standing in line for quite a while before able to board the ferry, outside Takeshiba courtyard and no seats available while waiting.",Tokai Kisen
57,10910977,"Ferry from Yokohama to Tokyo, Takeshiba, near Hamamatsu Cho. Ferry leaves from Yokohama terminal at 18:10 and getsTakeshiba at 19:45. It was nice trip, spring special price 1400yen, at the moment. Regular day is 1980yen. Sunset at Minatomirai area, Kawasaki factory area, Haneda airport, Daiba City, under rainbow bridge, and landing near Tokyo tower. Non stop. Ship comes from other Tokyo islands so kind of crowd on the ship but good view at deck. Backpacker type of trip.",Tokai Kisen
58,10910977,伊豆大島まで快適な船旅でした 熱海港から伊豆大島まで、高速船を往復で利用しました。チケット購入に関しては、ネット予約で購入するとお得に乗船できるためオススメです。但しネット予約をしていても、きっぷ売場では当日券を購入する方々と同じ列に並ぶため、時間を要したので早めに行って発券手続きを済まされることを推奨します。座席は全席指定で、席番号は乗船券を受け取ったタイミングで分かりました。乗船券は乗船後に回収されてしまうため、手元に残らないので記念に残しておきたい方は降りる前までに写真を撮っておくことをおすすめします。乗船した感想もろもろです。高速船という名だけあって、あっという間の1時間でした。一般的なフェリーと違ってデッキには出れず、シートベルトの着用が義務付けられているなど多少の不自由感はありました。船内にはお手洗いや自動販売機、荷棚がありました。座席前方にはディスプレイが設置され、島内の案内放送や船の前面展望を放送していました。座席は1階席と2階席があり、私は1階席でした。心配していた船の揺れは殆ど無く、快適な船旅でした☆帰りの伊豆大島を出発する際に、スタッフさんが手を振って見送っていただいたのが凄く印象的で心に残りました。また伊豆諸島へ行く際には、利用しようと思います。,Tokai Kisen
59,12597560,楽器店でお箸作り お箸作りの講座に参加しました。数種類ある棒状の木材から自分がお箸にしたいものを選び、やすりを使って地道に削っていきます。最後に艶を出す工程がありますが、ニスを使わないでも艶が出るのには驚きました。所要時間2-3時間ほど。畳に座っての作業で、木くずなども出ますので、参加される際は汚れてもいい服装でスカートは避けることをおすすめします。,Mukouyama Gakkiten
60,4294281,"A must-see place only 30min from Tokyo We were most welcomed to the museum. We had a guide that spoke english who was extremely kind and showed us around inside and out. We met the master himself who was so kind to take pictures with us, signed some books and eaven have us a gift. We were offered tea in great athmosphere and everyone seemed happy to talk with us. ",Shunkaen BONSAI Museum
61,4294281,"A must see if you like Bonsai This museum is wonderful and well worth a visit. It is a working bonsai nursery Only about 30 mins from Tokyo and full of incredible and beautiful bonsai, some hundreds of years old. Very friendly staff and great value for 800 yen. ",Shunkaen BONSAI Museum
62,4294281,"Amazing place Fantastic collection of bonsai, some plants are several hundred years old; the oldest we saw was a 500 year old pine. The place is small but fully staffed with fantastically looking plants of all kinds, blooming and looking like came from other planet. The owner Kobayashi-san is  the world famous and presented us an album in English at the end of the tour.Staff is very friendly, served tea and showed a several of funny and unusual plants, called for taxi when we were done. Pls note that the place is located at Tokyo suburb: so the best will be to take train to the closes JR station and a cab from there: will cost all together ~$12 to get to the place",Shunkaen BONSAI Museum
63,19820772,こじんまりとした大明神ですが美しいです！ こじんまりとした大明神ですが美しいです。両側にきつねさんが迎えてくれます。地元の方に大切にされている大明神ですね！,Kaisaku Inari
64,19820772,呑川そばの小さなお稲荷さん 呑川と佐川急便品川営業所に挟まれた工業地帯の道なりにある、小さなお稲荷様です。所在地となっている西糀谷3-5-1は建立者のご住所と思われ、こちらは東糀谷5-4-11になるようです。観光スポットとして掲載されているとは、知りませんでしたが、確かにきれいにされていました。,Kaisaku Inari
65,19820772,今日の散歩コース（羽田七福いなりめぐりを中心に） この稲荷大明神の情報は、境内にある由緒書のみです。写真に撮りましたので、アップしておきます。境内（かなり小さいですが）は、綺麗に整理されていて、手入れが行き届いています。地元の方たちがお世話されているものと思います。,Kaisaku Inari
66,10396556,秋田犬展覧会開錠 秋田犬の展覧会で初めて行きました。キャンプ、カヌー、釣り、遊具遊び、健康遊具と幅広い層が楽しめる公園です。近所だったら楽しいと思います。,Shinsakon River Shinsui Park
67,10396556,何でもできます 新長島川親水公園の南側に隣接した、広い水面を持つ4番目の親水公園でとの事です。水辺でのバーベキューやデイキャンプが楽しめる芝生広場・複合遊具・リフレッシュ健康器具など、ご家族で楽しめる施設があり、ファミリーが楽しいでいました。,Shinsakon River Shinsui Park
68,10396556,落ち着いた公園ですが、キャンプもえｄき、川辺では釣りも！ 高層団地に囲まれるように広がる公園です2020年のオリンピックを目指して今ではここにカヌーに乗れる設備があります小さなお子さんと一緒に乗れるようで評判は良いいみたいです,Shinsakon River Shinsui Park
69,13861685,幼児だと遊びづらいが、大人は盛り上がる スポーツ体感型アミューズメント施設です。すべて大人規格で作られているので、未就学児だと少し難しいかもしれません。大人は間違いなく楽しめるので、カップルなんかと一緒に来てみては。土日でも午前中だとガラガラで、順番待ちもせずすべて体験することができました。後ろに人が待たれていると少しやりづらいかもしれないですね（汗,Legend Sports Heroes Aeon Mall Makuharishintoshin
70,13861685,雨でもＯＫ イオンモール内にある、時間制料金でバッティングやサッカーゲームなどが遊び放題のお店で、雨の日に体を動かすのに最適ですよ。,Legend Sports Heroes Aeon Mall Makuharishintoshin
71,13861685,楽しい!! 子どもたちも大満足!!ちょっと腕に覚えのある私も大満足。でもボールって日常生活では投げないものですね。最初は上手く投げられないでビックリ！ここに通うために息子とキャッチボールしようかな。とにかく大満足の2時間でした。,Legend Sports Heroes Aeon Mall Makuharishintoshin
72,13152758,畑もありました こちらは、台東区の蔵前小学校や環境ふれあい館ひまわりに隣接する公園です。園内は、フェンスで囲まれた大きな砂場や、ブランコ、複合遊具があり近所の子供たちが楽しそうに遊んでいました。また、一角には畑もありました。,Seika Park
73,13152758,小学校前で児童が多い 小学校前で集まりやすいのか、低学年中心に児童が多い。柵付きの大きな砂場もあり、幼児連れの親子利用に適しています。人気のチョコレートカフェ、ダンデライオンの向かいにあることから、利用者の姿も。2017冬にビオトープが干からびているとあるのは、かいぼりなので問題ありません。,Seika Park
74,13152758,管理 管理が適当な気がしないでもない。殺風景だが、人はそれなりにいた。散策には、あまり向かないが、休憩には使えそうだ。,Seika Park
75,12817437,東京土産を 羽田からANA便で行く時、場所がいいので便利です。なんとなくお値段は張る商品が目立つ気もしますが、一部の百貨店などでしか買えない限定品があったり、惣菜もあり、東京土産にこだわる方に。,Smile Tokyo
76,12817437,お土産 第2ターミナルの手荷物あずけカウンターの前にあるお土産やさんです。東京、もしくは関東地方のお土産を各種取り揃えておりなかなかそそるものがあります。あまり人がごちゃごちゃしておらず、若干高級感もあってウインドウショッピングが楽しいお店です。,Smile Tokyo
77,12817437,お土産 いろんなお土産が集まっているので見やすいです。よく茅乃舎のだしを買ったりしています。他にも東京バナナや鳩サブレなどいろいろあります。,Smile Tokyo
78,23020527,質素な社殿 京葉道路沿　新中川の手前　参道は京葉道路と反対側の住宅街にある　年月は不詳　江戸時代に創建　当時の氏子は18戸　現在の社殿は明治時代に建てられた　境内中央に鎮座する社殿は質素な作り,Ichinoe Tenso Shrine
79,3154165,Night flight Came in and everything was closed it was only 2200hrs. Airport was empty due to COVID but it still was not a good experience with everything closed. Had no choice in coming here but it was an experience non the least. We came we saw and we flew on. ,Tokyo International Airport (Haneda) Terminal No2 Observation Deck
80,3154165,"Clean and nice airport Flew from Haneda at a time when there was onpy two outbound flight the whole day. Most shops and restaurant were closed, but we managed to get some tasty kobe beef burgers.",Tokyo International Airport (Haneda) Terminal No2 Observation Deck
